No,torch_tf_max_diff,torch_tf_mean_diff,torch_mindspore_max_diff,torch_mindspore_mean_diff,tf_mindspore_max_diff,tf_mindspore_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
0,1.12E-05,1.46E-06,1.14E-05,1.48E-06,1.37E-05,2.68E-07,1.21E-05,1.07E-06,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
1,3.77E-05,1.20E-06,3.77E-05,1.20E-06,1.79E-05,2.18E-07,3.11E-05,8.74E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:2  ,0
2,1.76E-05,1.45E-06,1.81E-05,1.48E-06,2.55E-05,5.82E-07,2.04E-05,1.17E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
3,2.44E-06,5.63E-07,2.38E-06,5.67E-07,3.22E-06,1.20E-07,2.68E-06,4.17E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:2  ,0
4,2.41E-05,1.54E-06,2.41E-05,1.54E-06,3.22E-05,3.00E-07,2.68E-05,1.13E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
5,2.00E-05,1.38E-06,2.07E-05,1.39E-06,1.57E-05,2.64E-07,1.88E-05,1.01E-06,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
6,3.64E-06,8.12E-07,3.28E-06,7.59E-07,2.92E-06,2.67E-07,3.28E-06,6.13E-07,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:2  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
7,2.32E-06,5.43E-07,2.44E-06,5.50E-07,3.40E-06,1.25E-07,2.72E-06,4.06E-07,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
8,1.98E-05,1.54E-06,1.96E-05,1.51E-06,2.77E-05,3.34E-07,2.23E-05,1.13E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
9,1.22E-05,1.06E-06,1.14E-05,1.02E-06,1.50E-05,2.26E-07,1.29E-05,7.68E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:10  ,0
10,1.60E-05,1.53E-06,1.60E-05,1.53E-06,1.66E-05,1.96E-07,1.62E-05,1.09E-06,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
