No,torch_tf_max_diff,torch_tf_mean_diff,torch_mindspore_max_diff,torch_mindspore_mean_diff,tf_mindspore_max_diff,tf_mindspore_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
0,3.34E-06,2.56E-07,3.46E-06,9.67E-08,3.52E-06,2.70E-07,3.44E-06,2.08E-07,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
1,8.23E-06,1.50E-06,9.54E-06,2.01E-07,8.11E-06,1.48E-06,8.62E-06,1.06E-06,0:1 1:1 2:3 3:1 4:1 5:2 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:3 to:5 operator:11  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
2,3.52E-06,1.82E-07,3.34E-06,9.56E-08,3.58E-06,1.99E-07,3.48E-06,1.59E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
3,1.11E-05,4.02E-07,7.99E-06,1.86E-07,1.08E-05,3.47E-07,9.97E-06,3.12E-07,0:1 1:1 2:1 ,from:0 to:1 operator:10  from:1 to:2 operator:-1  ,0
4,2.07E-05,9.29E-07,1.12E-05,1.55E-07,2.04E-05,9.31E-07,1.74E-05,6.72E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:2  from:1 to:2 operator:-1  ,0
5,5.04E-06,1.05E-06,5.81E-06,1.60E-07,5.10E-06,1.07E-06,5.31E-06,7.61E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
6,3.43E-05,1.40E-06,3.39E-05,5.49E-07,3.34E-05,1.37E-06,3.39E-05,1.11E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:4  ,0
7,7.40E-06,7.83E-07,8.40E-06,2.12E-07,7.51E-06,7.72E-07,7.77E-06,5.89E-07,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:11  ,0
8,1.34E-05,4.52E-07,1.32E-05,1.74E-07,1.34E-05,4.92E-07,1.33E-05,3.73E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
9,1.84E-05,7.40E-07,1.53E-05,2.45E-07,1.79E-05,7.86E-07,1.72E-05,5.90E-07,0:1 1:1 2:1 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  ,0
10,2.43E-05,1.58E-06,1.19E-05,1.51E-07,2.43E-05,1.62E-06,2.02E-05,1.12E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:2  ,0
11,2.72E-05,7.51E-07,1.93E-05,2.91E-07,2.69E-05,8.25E-07,2.45E-05,6.22E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
12,3.05E-05,5.81E-07,1.60E-05,2.79E-07,3.05E-05,6.01E-07,2.57E-05,4.87E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
13,2.34E-05,7.24E-07,1.43E-05,3.70E-07,2.38E-05,6.68E-07,2.05E-05,5.87E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
14,1.74E-05,9.94E-07,1.67E-05,1.85E-07,1.74E-05,9.80E-07,1.72E-05,7.20E-07,0:1 1:1 2:1 ,from:0 to:1 operator:10  from:1 to:2 operator:-1  ,0
15,3.36E-05,7.09E-07,1.59E-05,2.25E-07,3.34E-05,6.62E-07,2.76E-05,5.32E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
16,3.70E-06,3.39E-07,3.40E-06,8.11E-08,3.64E-06,3.20E-07,3.58E-06,2.47E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
17,4.32E-06,1.04E-06,5.63E-06,1.48E-07,4.26E-06,1.05E-06,4.74E-06,7.47E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
18,2.91E-05,6.67E-07,1.72E-05,2.06E-07,2.96E-05,7.05E-07,2.53E-05,5.26E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
19,2.98E-05,2.28E-06,2.69E-05,3.95E-07,2.98E-05,2.34E-06,2.88E-05,1.67E-06,0:1 1:1 2:3 3:1 4:1 5:2 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:3 to:5 operator:11  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
20,5.42E-06,6.67E-07,5.75E-06,2.29E-07,5.04E-06,6.69E-07,5.40E-06,5.21E-07,0:1 1:1 2:1 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  ,0
