No,torch_tf_max_diff,torch_tf_mean_diff,torch_mindspore_max_diff,torch_mindspore_mean_diff,tf_mindspore_max_diff,tf_mindspore_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
0,3.58E-06,1.82E-07,3.34E-06,1.12E-07,3.52E-06,1.99E-07,3.48E-06,1.64E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
1,3.46E-06,2.04E-07,3.22E-06,1.32E-07,3.28E-06,2.56E-07,3.32E-06,1.98E-07,0:1 1:1 2:1 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  ,0
2,5.60E-06,3.39E-07,5.48E-06,1.88E-07,5.48E-06,2.72E-07,5.52E-06,2.67E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
3,1.57E-05,4.88E-07,1.17E-05,1.95E-07,1.55E-05,4.39E-07,1.43E-05,3.74E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
4,3.46E-06,1.89E-07,3.34E-06,8.57E-08,3.46E-06,1.80E-07,3.42E-06,1.52E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
5,5.28E-06,6.29E-07,5.51E-06,2.07E-07,5.16E-06,7.02E-07,5.31E-06,5.13E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
6,1.79E-05,1.17E-06,1.60E-05,7.66E-07,1.76E-05,9.82E-07,1.72E-05,9.74E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:6  ,0
7,1.61E-05,1.18E-06,1.24E-05,4.93E-07,1.66E-05,1.23E-06,1.50E-05,9.67E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:-1  ,0
8,3.81E-05,7.10E-07,2.00E-05,2.85E-07,3.77E-05,7.50E-07,3.19E-05,5.82E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
9,2.34E-05,8.51E-07,1.65E-05,3.00E-07,2.38E-05,8.59E-07,2.12E-05,6.70E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
10,1.51E-05,7.08E-07,1.22E-05,2.91E-07,1.49E-05,7.50E-07,1.41E-05,5.83E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
11,5.22E-06,7.48E-07,5.75E-06,2.21E-07,5.10E-06,6.88E-07,5.35E-06,5.52E-07,0:1 1:1 2:1 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
12,2.88E-05,1.20E-06,1.75E-05,3.81E-07,2.86E-05,1.19E-06,2.50E-05,9.23E-07,0:1 1:1 2:2 ,from:0 to:1 operator:12  from:0 to:2 operator:8  from:1 to:2 operator:-1  ,0
13,1.60E-05,5.76E-07,7.87E-06,2.98E-07,1.65E-05,6.80E-07,1.34E-05,5.18E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:14  from:1 to:2 operator:-1  ,0
14,1.59E-05,7.85E-07,1.62E-05,2.05E-07,1.74E-05,7.78E-07,1.65E-05,5.89E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
15,1.53E-05,5.24E-07,9.54E-06,2.10E-07,1.50E-05,5.48E-07,1.33E-05,4.28E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
16,6.14E-06,5.34E-07,5.57E-06,2.15E-07,5.93E-06,5.28E-07,5.88E-06,4.26E-07,0:1 1:1 2:1 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  ,0
17,2.29E-05,6.17E-07,1.34E-05,2.58E-07,2.29E-05,6.53E-07,1.97E-05,5.10E-07,0:1 1:1 2:1 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  ,0
18,3.19E-05,8.20E-07,1.90E-05,1.76E-07,3.19E-05,8.10E-07,2.76E-05,6.02E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
19,1.45E-05,7.21E-07,1.38E-05,2.70E-07,1.48E-05,6.40E-07,1.44E-05,5.44E-07,0:1 1:1 2:1 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  ,0
20,2.22E-05,1.35E-06,2.98E-05,3.75E-07,2.34E-05,1.46E-06,2.51E-05,1.06E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
21,1.76E-05,1.05E-06,2.03E-05,3.25E-07,1.57E-05,1.06E-06,1.79E-05,8.13E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
22,2.17E-05,8.68E-07,1.88E-05,2.71E-07,2.17E-05,7.60E-07,2.07E-05,6.33E-07,0:1 1:1 2:1 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  ,0
23,2.62E-05,9.39E-07,1.97E-05,5.22E-07,2.62E-05,9.41E-07,2.40E-05,8.01E-07,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
24,2.05E-05,9.05E-07,1.79E-05,2.91E-07,2.03E-05,8.93E-07,1.96E-05,6.96E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
25,1.76E-05,5.13E-07,1.23E-05,2.24E-07,1.76E-05,5.06E-07,1.59E-05,4.14E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
26,1.43E-05,6.83E-07,1.41E-05,1.86E-07,1.43E-05,7.12E-07,1.42E-05,5.27E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
27,2.41E-05,1.27E-06,1.28E-05,3.22E-07,2.38E-05,1.24E-06,2.02E-05,9.44E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:10  from:1 to:2 operator:-1  ,0
28,2.21E-05,1.26E-06,1.14E-05,4.01E-07,2.21E-05,1.36E-06,1.85E-05,1.01E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:-1  ,0
29,1.34E-05,4.50E-07,1.13E-05,2.28E-07,1.36E-05,5.06E-07,1.28E-05,3.95E-07,0:1 1:1 2:1 ,from:0 to:1 operator:12  from:1 to:2 operator:12  ,0
30,3.15E-05,8.49E-07,2.93E-05,4.55E-07,3.27E-05,8.67E-07,3.12E-05,7.23E-07,0:1 1:1 2:2 ,from:0 to:1 operator:12  from:0 to:2 operator:8  from:1 to:2 operator:-1  ,0
31,1.26E-05,6.46E-07,1.07E-05,3.28E-07,1.24E-05,7.00E-07,1.19E-05,5.58E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
32,2.05E-05,6.62E-07,9.30E-06,1.49E-07,2.03E-05,6.52E-07,1.67E-05,4.88E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
33,1.67E-05,6.61E-07,8.70E-06,2.06E-07,1.67E-05,6.96E-07,1.40E-05,5.21E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
34,4.50E-06,8.24E-07,5.33E-06,2.01E-07,4.62E-06,7.72E-07,4.82E-06,5.99E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
35,9.78E-06,8.24E-07,1.05E-05,3.87E-07,1.00E-05,7.39E-07,1.01E-05,6.50E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:14  from:1 to:2 operator:-1  ,0
36,1.79E-05,4.80E-07,1.73E-05,2.09E-07,1.78E-05,4.97E-07,1.76E-05,3.96E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
37,3.19E-05,1.91E-06,9.78E-06,3.25E-07,3.24E-05,1.83E-06,2.47E-05,1.36E-06,0:1 1:1 2:3 3:1 4:1 5:2 ,from:0 to:1 operator:-1  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:3 to:5 operator:8  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
38,2.46E-05,4.73E-07,2.43E-05,1.99E-07,2.53E-05,4.76E-07,2.47E-05,3.83E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
39,5.96E-06,4.07E-07,5.90E-06,3.45E-07,5.87E-06,3.43E-07,5.91E-06,3.65E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
40,4.44E-06,5.40E-07,3.52E-06,2.56E-07,4.23E-06,4.75E-07,4.06E-06,4.24E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:6  ,0
