nohup: ignoring input
2022-08-12 06:05:44.326703: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2022-08-12 06:05:44.326746: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2022-08-12 06:05:47.391181: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2022-08-12 06:05:47.391226: W tensorflow/stream_executor/cuda/cuda_driver.cc:269] failed call to cuInit: UNKNOWN ERROR (303)
2022-08-12 06:05:47.391250: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (ubuntu): /proc/driver/nvidia/version does not exist
2022-08-12 06:05:47.391574: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
random - 000134 :  1.619259516398112e-06
random - 000135 :  2.7418136596679688e-05
random - 000136 :  3.4809112548828125e-05
random - 000137 :  2.010663350423177e-05
random - 000138 :  3.2782554626464844e-06
random - 000139 :  2.483526865641276e-06
random - 000140 :  3.0199686686197918e-05
random - 000141 :  1.7325083414713543e-05
random - 000142 :  3.910064697265625e-05
random - 000143 :  2.3444493611653645e-05
random - 000144 :  2.7974446614583332e-05
random - 000145 :  1.5330811341603596e-05
random - 000146 :  1.235802968343099e-05
random - 000147 :  7.16249148050944e-06
random - 000148 :  2.4517377217610676e-05
random - 000149 :  1.73648198445638e-05
random - 000150 :  5.8710575103759766e-06
random - 000151 :  1.5179316202799479e-05
random - 000152 :  1.994768778483073e-05
random - 000153 :  2.2570292154947918e-05
random - 000154 :  2.2451082865397134e-06
random - 000155 :  1.6808509826660156e-05
random - 000156 :  1.3706895212332407e-05
random - 000157 :  2.2331873575846355e-05
random - 000158 :  1.1523564656575521e-05
random - 000159 :  7.947285970052084e-06
random - 000160 :  2.2093454996744793e-05
random - 000161 :  2.110004425048828e-05
random - 000162 :  3.159046173095703e-05
random - 000163 :  3.337860107421875e-06
random - 000164 :  2.4298826853434246e-05
random - 000165 :  7.430712381998698e-06
random - 000166 :  2.8928120930989582e-05
random - 000167 :  3.388524055480957e-05
random - 000168 :  1.9788742065429688e-05
random - 000169 :  2.6027361551920574e-05
random - 000170 :  3.190835316975912e-05
random - 000171 :  1.6887982686360676e-05
random - 000172 :  3.119309743245443e-06
random - 000173 :  2.3365020751953125e-05
random - 000174 :  5.493561426798503e-06
random - 000175 :  3.5762786865234375e-06
random - 000176 :  1.915295918782552e-05
random - 000177 :  3.337860107421875e-06
random - 000178 :  1.9073486328125e-06
random - 000179 :  2.7894973754882812e-05
random - 000180 :  3.409385681152344e-05
random - 000181 :  2.5033950805664062e-05
random - 000182 :  1.88748041788737e-05
random - 000183 :  1.5417734781901043e-05
random - 000184 :  1.8596649169921875e-05
random - 000185 :  4.907449086507161e-06
random - 000186 :  2.376238505045573e-05
random - 000187 :  3.4968058268229164e-05
random - 000188 :  3.0249357223510742e-05
random - 000189 :  2.4239222208658855e-05
random - 000190 :  4.0531158447265625e-05
random - 000191 :  2.1656354268391926e-05
random - 000192 :  2.9325485229492188e-05
random - 000193 :  2.376238505045573e-05
random - 000194 :  3.163019816080729e-05
random - 000195 :  2.9404958089192707e-05
random - 000196 :  1.6689300537109375e-06
random - 000197 :  2.3047129313151043e-05
random - 000198 :  1.1563301086425781e-05
random - 000199 :  2.286831537882487e-05
random - 000200 :  1.3192494710286459e-05
random - 000201 :  1.325209935506185e-05
random - 000202 :  4.76837158203125e-06
random - 000203 :  3.238519032796224e-06
random - 000204 :  1.5060106913248697e-05
random - 000205 :  3.329912821451823e-05
random - 000206 :  3.5762786865234375e-06
random - 000207 :  1.4146169026692709e-05
random - 000208 :  5.5531660715738935e-06
random - 000209 :  4.3710072835286456e-06
random - 000210 :  1.5815099080403645e-05
random - 000211 :  1.2636184692382812e-05
random - 000212 :  1.2596448262532553e-05
random - 000213 :  1.9232432047526043e-05
random - 000214 :  5.632638931274414e-06
random - 000215 :  1.1046727498372396e-05
random - 000216 :  1.235802968343099e-05
random - 000217 :  3.3775965372721353e-06
random - 000218 :  1.7325083414713543e-05
random - 000219 :  1.2973944346110025e-05
random - 000220 :  1.895427703857422e-05
random - 000221 :  2.0821889241536457e-05
random - 000222 :  5.23527463277181e-06
random - 000223 :  3.7848949432373047e-06
random - 000224 :  1.331170399983724e-05
random - 000225 :  1.9669532775878906e-05
random - 000226 :  1.609325408935547e-05
random - 000227 :  1.430511474609375e-05
random - 000228 :  3.923972447713216e-06
random - 000229 :  1.4225641886393229e-05
random - 000230 :  1.537799835205078e-05
random - 000231 :  1.6987323760986328e-06
random - 000232 :  2.602736155192057e-06
random - 000233 :  7.680306831995646e-06
random - 000234 :  3.516674041748047e-06
random - 000235 :  1.6530354817708332e-05
random - 000236 :  1.1771917343139648e-05
random - 000237 :  2.964337666829427e-05
random - 000238 :  4.728635152180989e-06
random - 000239 :  3.059705098470052e-05
random - 000240 :  4.500150680541992e-06
random - 000241 :  1.9629796346028645e-05
random - 000242 :  2.3603439331054688e-05
random - 000243 :  3.1153361002604164e-05
random - 000244 :  1.4543533325195312e-05
random - 000245 :  2.3444493611653645e-05
random - 000246 :  1.4225641886393229e-05
random - 000247 :  5.861123402913411e-06
random - 000248 :  2.960364023844401e-06
random - 000249 :  3.4769376118977866e-06
