No,torch_tf_max_diff,torch_tf_mean_diff,torch_mindspore_max_diff,torch_mindspore_mean_diff,tf_mindspore_max_diff,tf_mindspore_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
48,1.62E-05,1.18E-06,1.74E-05,1.20E-06,1.47E-05,3.22E-07,1.61E-05,9.02E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
49,1.31E-05,1.30E-06,1.19E-05,1.34E-06,1.74E-05,4.28E-07,1.41E-05,1.02E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:10  from:1 to:2 operator:-1  ,0
50,1.98E-05,1.49E-06,1.60E-05,1.48E-06,1.26E-05,1.69E-07,1.61E-05,1.05E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
51,1.53E-05,1.99E-06,1.53E-05,1.94E-06,1.62E-05,3.84E-07,1.56E-05,1.44E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:8  from:1 to:2 operator:-1  ,0
52,2.38E-06,5.40E-07,2.50E-06,5.47E-07,3.16E-06,1.27E-07,2.68E-06,4.04E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
53,1.40E-05,2.05E-06,1.07E-05,2.03E-06,4.77E-06,1.73E-07,9.81E-06,1.42E-06,0:1 1:1 2:1 ,from:0 to:1 operator:6  from:1 to:2 operator:-1  ,0
54,2.98E-05,1.77E-06,2.88E-05,1.78E-06,1.78E-05,4.15E-07,2.55E-05,1.32E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
55,1.38E-05,1.77E-06,1.41E-05,1.76E-06,1.12E-05,2.64E-07,1.30E-05,1.27E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
56,4.65E-06,1.12E-06,4.59E-06,1.12E-06,5.54E-06,1.54E-07,4.93E-06,7.99E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
57,1.65E-05,1.61E-06,1.62E-05,1.58E-06,1.72E-05,2.50E-07,1.66E-05,1.15E-06,0:1 1:1 2:1 ,from:0 to:1 operator:10  from:1 to:2 operator:-1  ,0
58,2.50E-06,4.86E-07,2.15E-06,4.84E-07,2.38E-06,1.22E-07,2.34E-06,3.64E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:10  from:1 to:2 operator:-1  ,0
59,9.78E-06,1.50E-06,1.03E-05,1.53E-06,1.07E-05,6.14E-07,1.03E-05,1.21E-06,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:7  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
60,2.53E-05,1.90E-06,2.57E-05,1.94E-06,1.38E-05,5.35E-07,2.16E-05,1.46E-06,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:2 operator:9  from:0 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:1 operator:-1  from:1 to:2 operator:-1  ,0
61,1.38E-05,1.50E-06,1.43E-05,1.43E-06,1.30E-05,5.26E-07,1.37E-05,1.15E-06,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:-1  from:0 to:2 operator:1  from:1 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
62,1.10E-05,1.49E-06,1.05E-05,1.50E-06,1.17E-05,2.83E-07,1.10E-05,1.09E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
63,2.56E-06,5.93E-07,2.50E-06,5.88E-07,3.40E-06,1.06E-07,2.82E-06,4.29E-07,0:1 1:1 2:1 ,from:0 to:1 operator:10  from:1 to:2 operator:-1  ,0
64,1.22E-05,1.21E-06,1.19E-05,1.21E-06,8.23E-06,2.21E-07,1.08E-05,8.79E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:10  from:1 to:2 operator:-1  ,0
65,3.93E-06,5.43E-07,2.77E-06,5.49E-07,2.74E-06,1.30E-07,3.15E-06,4.07E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:2  from:1 to:2 operator:-1  ,0
66,2.00E-05,1.75E-06,1.96E-05,1.77E-06,1.29E-05,4.51E-07,1.75E-05,1.32E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:8  from:1 to:2 operator:-1  ,0
67,2.05E-05,4.39E-06,2.05E-05,4.38E-06,1.81E-05,8.99E-07,1.97E-05,3.22E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:4  from:1 to:2 operator:-1  ,0
68,9.54E-06,1.05E-06,1.53E-05,1.07E-06,8.94E-06,3.16E-07,1.12E-05,8.12E-07,0:1 1:1 2:2 3:1 4:1 5:1 ,from:0 to:1 operator:10  from:0 to:3 operator:-1  from:1 to:2 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:2 operator:-1  ,0
69,2.53E-05,1.19E-06,2.86E-05,1.29E-06,2.26E-05,7.75E-07,2.55E-05,1.09E-06,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
70,2.00E-05,1.66E-06,1.96E-05,1.67E-06,1.90E-05,3.62E-07,1.95E-05,1.23E-06,0:1 1:1 2:1 ,from:0 to:1 operator:11  from:1 to:2 operator:-1  ,0
